image_filename,breed,life_stage,weight_kg,weight_in_kg,weight_source,sex,age_in_year
scraped/nelore/nelore_001.jpg,nelore,vaca,383.5,383.5,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_002.jpg,nelore,novillo,279.02,279.02,estimado,MALE_STEER,2.0
scraped/nelore/nelore_003.jpg,nelore,vaca,474.74,474.74,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_004.jpg,nelore,toro,494.78,494.78,estimado,MALE_BULL,5.5
scraped/nelore/nelore_005.jpg,nelore,novillo,253.87,253.87,estimado,MALE_STEER,2.0
scraped/nelore/nelore_006.jpg,nelore,novillo,315.7,315.7,estimado,MALE_STEER,2.0
scraped/nelore/nelore_007.jpg,nelore,ternera,103.92,103.92,estimado,FEMALE_CALF,0.8
scraped/nelore/nelore_008.jpg,nelore,vaca,456.29,456.29,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_009.jpg,nelore,novillo,326.6,326.6,estimado,MALE_STEER,2.0
scraped/nelore/nelore_010.jpg,nelore,vaca,380.91,380.91,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_011.jpg,nelore,vaca,477.74,477.74,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_012.jpg,nelore,novillo,270.21,270.21,estimado,MALE_STEER,2.0
scraped/nelore/nelore_013.jpg,nelore,toro,537.22,537.22,estimado,MALE_BULL,5.5
scraped/nelore/nelore_014.jpg,nelore,ternera,96.77,96.77,estimado,FEMALE_CALF,0.8
scraped/nelore/nelore_015.jpg,nelore,vaca,464.52,464.52,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_016.jpg,nelore,vaca,482.16,482.16,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_017.jpg,nelore,novillo,376.51,376.51,estimado,MALE_STEER,2.0
scraped/nelore/nelore_018.jpg,nelore,novillo,321.77,321.77,estimado,MALE_STEER,2.0
scraped/nelore/nelore_019.jpg,nelore,vaca,466.59,466.59,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_020.jpg,nelore,toro,578.15,578.15,estimado,MALE_BULL,5.5
scraped/nelore/nelore_021.jpg,nelore,vaca,386.42,386.42,estimado,FEMALE_COW,4.5
scraped/nelore/nelore_022.jpg,nelore,novillo,287.62,287.62,estimado,MALE_STEER,2.0
